owner,repo,doc_quality_score,readme_found,readme_size_bytes,sections_found,missing_sections,has_code_examples,has_screenshots,has_security_info,has_license_info,readability_score
dainfernalcoder,perplexity-mcp,6.7,No,3497,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,Yes,Yes,5.0
inditextech,mcp-teams-server,7.2,No,4832,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,3.5
makafeli,n8n-workflow-builder,7.6,No,4137,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
kimtaeyoon83,mcp-server-youtube-transcript,7.5,No,3311,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
automata-labs-team,mcp-server-playwright,6.4,No,5022,installation; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,usage; error_handling,Yes,Yes,No,Yes,5.0
danhilse,notion_mcp,7.5,No,3844,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,Yes,Yes,5.0
shaneholloman,mcp-knowledge-graph,6.7,No,7704,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,error_handling,Yes,Yes,No,Yes,5.0
dbt-labs,dbt-mcp,6.9,No,7024,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,error_handling,Yes,Yes,Yes,Yes,5.0
disler,aider-mcp-server,7.8,No,9767,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
sshtunnelvision,mcp-logo-gen,7.1,No,2901,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing; advanced_usage,license,Yes,Yes,Yes,No,3.5
razorpay,razorpay-mcp-server,7.6,No,5878,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
crystaldba,postgres-mcp,7.8,No,35985,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
hannesrudolph,mcp-ragdocs,6.2,No,4336,usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference,installation,Yes,Yes,Yes,Yes,5.0
ericzakariasson,uber-eats-mcp-server,5.1,No,1001,installation; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; tools_reference; requirements,usage; configuration; license; project_info,Yes,Yes,Yes,No,5.0
simonb97,win-cli-mcp-server,6.8,No,15681,usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,installation,Yes,Yes,Yes,Yes,3.5
joshrutkowski,applescript-mcp,7.8,No,14944,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
negokaz,excel-mcp-server,5.4,No,4182,installation; configuration; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,usage; api_reference; error_handling,Yes,Yes,No,Yes,5.0
adhikasp,mcp-twikit,6.4,No,4978,installation; usage; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,configuration; error_handling,Yes,Yes,Yes,Yes,3.5
automata-labs-team,code-sandbox-mcp,7.7,No,5879,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
freepeak,db-mcp-server,7.6,No,23473,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
open-strategy-partners,osp_marketing_tools,7.8,No,8746,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
inditextech,mcp-server-simulator-ios-idb,7.8,No,12022,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
manusa,kubernetes-mcp-server,7.8,No,13282,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
samuelgursky,davinci-resolve-mcp,7.6,No,15640,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
stevenyu113228,bloodhound-mcp,6.0,No,2328,usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,installation; error_handling,Yes,Yes,Yes,Yes,3.5
elsejj,mcp-cn-a-stock,2.3,No,829,screenshots; contribution; tools_reference; testing,installation; usage; configuration; api_reference; error_handling; license; project_info,No,Yes,No,No,3.5
vast-ai-research,tripo-mcp,4.7,No,1600,installation; usage; configuration; api_reference; screenshots; code_examples; contribution; project_info; requirements,error_handling; license,Yes,Yes,No,No,3.5
matthewdailey,figma-mcp,7.0,No,2739,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,license,Yes,Yes,Yes,No,5.0
recursechat,mcp-server-apple-shortcuts,5.9,No,2343,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; tools_reference; requirements,error_handling; project_info,Yes,Yes,No,Yes,5.0
mem0ai,mem0-mcp,6.8,No,2587,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,license,Yes,Yes,Yes,No,3.5
egoist,fetch-mcp,4.3,No,544,usage; api_reference; cli; code_examples; contribution; license; tools_reference; advanced_usage,installation; configuration; error_handling; project_info,Yes,No,No,Yes,5.0
mamertofabian,mcp-everything-search,7.4,No,6731,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,No,Yes,5.0
nickclyde,duckduckgo-mcp-server,7.2,No,3568,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,,Yes,Yes,No,Yes,5.0
jsonallen,perplexity-mcp,6.7,No,3995,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
formulahendry,mcp-server-code-runner,6.0,No,5389,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; tools_reference; testing,error_handling; project_info,Yes,Yes,No,Yes,5.0
furey,mongodb-lens,7.8,No,67134,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
g0t4,mcp-server-commands,7.0,No,3156,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; tools_reference; requirements; testing,project_info,Yes,Yes,Yes,Yes,5.0
mshojaei77,reactmcp,7.8,No,7818,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
apify,mcp-server-rag-web-browser,7.3,No,6878,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,license,Yes,Yes,Yes,No,5.0
cyanheads,atlas-mcp-server,7.6,No,21555,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,Yes,Yes,3.5
quantgeekdev,mongo-mcp,7.4,No,4251,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
sdglbl,mcp-claude-code,6.4,No,4310,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; contribution; license; project_info; tools_reference; advanced_usage,,No,Yes,Yes,Yes,3.5
domdomegg,airtable-mcp-server,6.8,No,6742,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,error_handling,Yes,Yes,Yes,Yes,3.5
fengin,image-gen-server,6.6,No,4181,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,Yes,Yes,3.5
hyperb1iss,droidmind,7.7,No,9307,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
fradser,mcp-server-mas-sequential-thinking,7.6,No,18589,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
cr7258,elasticsearch-mcp-server,6.5,No,5261,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,error_handling,Yes,Yes,No,Yes,5.0
bigcodegen,mcp-neovim-server,6.3,No,4068,usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,installation,Yes,Yes,Yes,Yes,3.5
blurrah,mcp-graphql,6.6,No,3439,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
jacksteamdev,obsidian-mcp-tools,7.8,No,8775,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
taazkareem,clickup-mcp-server,7.5,No,20032,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
aliargun,mcp-server-gemini,7.0,No,2254,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; requirements; advanced_usage,,Yes,Yes,Yes,Yes,5.0
angiejones,mcp-selenium,7.1,No,8689,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,No,Yes,3.5
hellokaton,unsplash-mcp-server,6.6,No,3525,installation; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,usage; error_handling,Yes,Yes,No,Yes,5.0
dvcrn,mcp-server-siri-shortcuts,5.8,No,1909,usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; advanced_usage,installation; license,Yes,Yes,No,No,3.5
timholden,figma-mcp-server,7.8,No,7371,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
burningion,video-editing-mcp,7.7,No,6571,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
ee0pdt,godot-mcp,7.0,No,5313,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; advanced_usage,,Yes,Yes,No,Yes,5.0
neka-nat,freecad-mcp,5.2,No,2827,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; tools_reference,error_handling; license; project_info,Yes,Yes,Yes,No,3.5
openbnb-org,mcp-server-airbnb,5.8,No,2668,installation; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference,usage; error_handling,Yes,Yes,Yes,Yes,5.0
gannonh,firebase-mcp,7.6,No,9013,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,3.5
jingcheng-chen,rhinomcp,7.6,No,5477,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,Yes,Yes,5.0
quarkiverse,filesystem,5.5,No,2709,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; project_info,license,Yes,Yes,No,No,3.5
quarkiverse,jdbc,7.5,No,6578,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,No,Yes,3.5
sirmews,mcp-pinecone,6.9,No,5837,installation; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,usage,Yes,Yes,Yes,Yes,5.0
opendatamcp,opendatamcp,7.6,No,9589,installation; usage; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,configuration,Yes,Yes,Yes,Yes,5.0
taida957789,ida-mcp-server-plugin,7.2,No,4423,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
tiberriver256,mcp-server-azure-devops,7.4,No,9502,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
spences10,mcp-sequentialthinking-tools,6.4,No,5924,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,No,Yes,3.5
xgenerationlab,xiyan_mcp_server,7.0,No,13826,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing,error_handling,Yes,Yes,Yes,Yes,5.0
burtthecoder,mcp-maigret,7.7,No,5626,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
huccihuang,bilibili-mcp-server,3.1,No,965,api_reference; cli; code_examples; contribution; license,installation; usage; configuration; error_handling; project_info,Yes,No,No,Yes,3.5
getsentry,sentry-mcp,7.5,No,5004,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; tools_reference; requirements; testing; advanced_usage,project_info,Yes,Yes,Yes,Yes,5.0
jae-jae,g-search-mcp,7.3,No,5411,installation; usage; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,,Yes,Yes,No,Yes,5.0
tonypan2,minesweeper-mcp-server,4.3,No,2092,installation; usage; configuration; cli; screenshots; code_examples; contribution; tools_reference,api_reference; error_handling; license; project_info,Yes,Yes,No,No,3.5
1panel-dev,mcp-1panel,6.6,No,3739,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info; tools_reference; requirements; testing,error_handling; license,Yes,Yes,Yes,No,5.0
ktanaka101,mcp-server-duckdb,7.0,No,4446,installation; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; advanced_usage,usage,Yes,Yes,Yes,Yes,5.0
pyroprompts,any-chat-completions-mcp,6.5,No,4971,installation; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,usage,Yes,Yes,No,Yes,5.0
maquina-app,rails-mcp-server,7.8,No,13808,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,5.0
rishikavikondala,mcp-server-aws,6.7,No,3725,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference,,Yes,Yes,Yes,Yes,5.0
jkf87,hwp-mcp,6.6,No,3469,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; tools_reference; requirements; testing,error_handling; project_info,Yes,Yes,Yes,Yes,5.0
newideas99,deepseek-thinking-claude-3.5-sonnet-cline-mcp,6.9,No,5689,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements,error_handling,Yes,Yes,Yes,Yes,5.0
weaviate,mcp-server-weaviate,5.6,No,1425,installation; usage; configuration; api_reference; cli; screenshots; code_examples; contribution; license; requirements; testing,error_handling; project_info,Yes,Yes,No,Yes,5.0
0xkoda,wiremcp,7.4,No,4947,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,3.5
ccq1,awsome_kali_mcpservers,6.7,No,4968,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,3.5
ccabanillas,notion-mcp,7.5,No,3742,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,5.0
scorzeth,anki-mcp-server,5.1,No,2144,installation; configuration; api_reference; error_handling; cli; screenshots; code_examples; contribution; tools_reference; requirements,usage; license; project_info,Yes,Yes,No,No,3.5
thrashr888,terraform-mcp-server,7.4,No,7475,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,,Yes,Yes,Yes,Yes,3.5
merill,mcp,5.2,No,1865,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; project_info,error_handling; license,Yes,Yes,Yes,No,5.0
chigwell,telegram-mcp,7.6,No,21930,installation; usage; configuration; api_reference; security; error_handling; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing,,Yes,Yes,Yes,Yes,3.5
danilop,mcp2lambda,7.6,No,9042,installation; usage; configuration; api_reference; security; cli; screenshots; code_examples; contribution; license; project_info; tools_reference; requirements; testing; advanced_usage,error_handling,Yes,Yes,Yes,Yes,5.0
